title,review,First violation,Second violation,Third violation
ruined trust,"my parents and i have always had what i thought was a relatively trusting relationship. i’ve always done what they wanted me to do and when they say no to going somewhere, i’ve never snuck out regardless of how badly i want to go. i don’t hang out with friends my mom doesn’t like. i don’t go to parties my mom says i can’t go to. i have to ask months in advance if i want to go to a concert, and even then, it’s usually a no. i’ve never been allowed to go to music midtown. i wasn’t even allowed to go to the aquarium with my friends. they never give reasons as to why i can’t go, they just say no. and i listen to them. i barely have a social life. i can have 3 people at my house and no one else. i’m not allowed to have a sleepover. i’m rarely allowed to go to birthday parties. i’m never allowed to go to july 4 parties, nye parties, or halloween parties. all i do at this point is stay at home and sleep and watch netflix and eat. this is why i was shocked when my mom sent this app into our family group chat. that really showed that whether i do things or not, there is an extreme lack of trust between us and nothing will change that. i wouldn’t care if she said to me that she didn’t trust me and wanted my location at all times. my problem is that she disguised it as “i’m looking out for your safety”. i’ve been to downtown atlanta multiple times with just my sister. i’ve gone through the airport, which is the biggest hub for sex trafficking in america. but now, you’re worried about my safety? she’s “worried” because i have friends. i have more friends than anyone else in my family. i’m more of an extrovert than an introvert like the rest of my family. i get invited to things and that scares my parents. i’ve been working to build a relationship of trust for my whole life with my parents and this app really shows that there’s no trust at all. why am i even trying anymore? this app actually puts a lot of teens in danger, as many of them will leave their phones at home when going to a party. this is infinitely more dangerous than not knowing their location at all times. in addition, this company sells your information to another company. this app is for neurotic parents who don’t know how else to exercise extreme control over their children",Truth,Free will,Power
Crap,"This app is a wast of space if your trying to shelter your child, don’t. Sure don’t let them know about the terrible things that happen in this world, but shoving the stuff that this app provides down your child’s throat will only do them harm. If a kid is sheltered and then every thing in this world comes rushing in at once say when they go to college or high school then you will have a completely helpless person and it’s your fault. This app is cancer. And it makes me want to die. I downloaded it because YouTube won’t work on my phone and I instantly had an aneurysm. There are videos on YouTube that are completely appropriate but for some reason kids can’t watch them.",Honesty,Free will,Capacity
Teenager’s Review :),"I’ve seen a lot of kids/teenagers review this app and automatically give bad reviews just because they know that they have the software. The software is good for younger kids whose parents want to block simple things like social media and restrict time limits. As a teenager, my parents don’t feel the need to disable social media but they use it more to turn my phone off at night and to check which apps I’m using. The software has pretty stupid issues too. Without the VPN connected, (and it automatically disconnects constantly) the monitored device is incapable of doing pretty much anything. It blocks websites that in my opinion don’t need to be blocked. A restaurants website in my area was blocked and so was my local newspapers website. I’m not dissing the software at all but I feel it’s best to use it on younger kids. :)",Power,Free will,Truth
PLEASE READ,recently there have been people making account about people that i know or people from my school they have been calling them sluts and it’s super rude and this needs to stop please otherwise it’s a great app,Truth,Power,Honesty
PLEASE READ,"Alright so I have no problem with this apps concept and what it is meant to do, but I do have a problem with some features. I had no objection to my mom installing this on my phone and iPad because there’s nothing that I do that would get me in trouble with her. The first day after she installed it she received a notification of me going to a blocked website which I had never heard of. This was two years ago and still today she is receiving block website alerts for sites I have never visited, even according to my search history (incognito is too slow for me to even use 😂 which pertains to my next issue). The VPN is impossible to shut off. I don’t need protection on my home network or my friends networks, I would like to be able to use my WiFi (generally slow compared to others) to its full extent without having to wait 5 minutes to load eBay. In the daily reports, my mom receives notifications of me using apps which have never even been downloaded onto any of my devices (Facebook Instagram Snapchat... but only social media’s? Maybe to make they’re reports seem more genuine when they contain fake website visits or maybe family’s that have really messed up kids??) and I have gotten into trouble many many times over this and lost privileges because of nothing. Now here are my main two problems. The text reading and location. These two should not be integrated into a parental safety app, these are developed for parents who don’t trust they’re kids, whether or not they have a reason is unknown. The location isn’t as bad as the texts these are supposed to be generally private, granted you are writing something down but it is only SUPPOSED to be seen by yourself and the person you are sending it too. Imagine trying to have a conversation with your Girlfriend/Boyfriend knowing your parents are going to read the whole thing. Not easy I’m sure. Thankfully my mom “trusts” me enough to not use these features but how can you say you trust your child when they’re beyond the age of general ignorance and innocence (about 11 to 12 in this day and age) and still monitor all they’re activity online. For younger kids the features are great but for teens it’s just a device for parents who don’t trust they’re children, even the ones who have no reason, like my mom. I get the want to protect your kids but at this age it’s just beyond that point. Thanks for reading this",Free will,Honesty,Truth
Okay,I love the app but there is too much cyber bullying on it. I recommend that if you curse in it you will have a suspension on your account for a day or so. That would make it more fair for everyone. My mom won't let me get the app because of the hurtful things people say on it. Please consider this suggestion!😞,Power, ,Free will
SERIOUSLY?,"This is why facebook is going down the drain 1. I'm being forced to download this app, if I don't I can't text my friends?

2. Little do people know when you except messenger policies you are throwing your privacy away. They have access to your camera at all time, so someone from Europe could be stalking you RIGHT NOW (I'm not joking), stalking your wife, your husband, your friends, your daughter, maybe even your son, and if you let your kids play on your phone or tablet, then someone CAN be stalking your loved ones. (I've done my research, and I deleted this app for good) 

3. They have access to all my contacts, it's creepy

4. It's not even a good way to message your friends, I don't see why I have to download it",Power,Free will,Visibility
Poor connection for parental control,"Bad bad apps for parents control. More than 9/10 times the parental control link doesn't show up or was just missing. The internet is not consistent, not stable. I wish I can change to others.",No violation, , 
Ok so..,I was blackmailed since today. They have photos of me and my location. I really need you to block this person or get them away from me. I don’t know if this person has done this to other people. I think of it as a empty threat but I am kinda nervous. Can you please take them off their user name is “mistressjen12” I really don’t want anything bad to happen to me or my family.,Free will,Visibility,Power
an abomination,"this app is one of the worst apps of all time. It does It's job just fine, but thats exactly why it is so bad. I was 14 and a half years old when my mom forced me to download this app. She now uses it whenever she feels like it, and also gives me an 8:00 bedtime and 6:30 usage. This is great because normally I wake up late and stay up late in the night. Also, I am almost 15, I should be able to decide when I want to use my phone. The final thing this app has done is it has put space between me and my mom. I used to be very close to my mom, but ever since this app I feel like we have grown apart. Thanks Eutri Corp for meddling with kids lives and tearing apart families.",Free will,Power,Honesty
Perfect for helicopter parents,"You know whoever made this app,thank you for helping insecure parents deal with their kids and track their every move. You know it used to be only prisoners that hot their every move tracked,now you can do the same for your kids!",Free will,Power, 
This site,The police came to my house to inform us that our ten yr old was in communication with a disgust adult male pretending to be a child. Parents beware that a Ryan Stacy is not a child but a adult. Saying disgusting things a children. Parents beware. I hope the police looking into this find and arrest this pervert.,Statutes,Visibility,Truth
Complete invasion of teens privacy,FYI for parents this won’t solve anything It WILL just ruin the trust and respect in you and your child’s relationship. Trust me when I say they will find a way to get around this app and If it’s by leaving their phone the place they should be at its putting them at risk if something does go wrong and they can’t text or call you or anyone cause they don’t have their phone. This app does not help. Get over yourself and start trusting your kids.,Power,Honesty,Free will
You need to remove the snap map,Kids and teens are getting kidnapped from the snap map. Please remove it for the ones who don’t know that they are sharing their location. It would bring the kidnapping rates way down. Even if you don’t turn it on it can still show where you are.,Statutes,Visibility,Honesty
Not safe for humans!,Kids love it because parents don’t see their messages.  The recent encouragement of domestic violence in their ads comes as no surprise.  The app encourages kids to keep in constant daily contact with “streaks” which are pointless and often non verbal check ins with every “friend”.  Every good review of this app comes from a child.  That’s was my first clue that this may not be helpful to society or humans in general.,Statutes,Honesty,Free will
worst experience. a living hell. it haunts me,"This is the worst app I've ever had to get in my life. Whoever made it is a pushover. No child should EVER be forced to get it. Do you think they had junk like this in the 1900-90's ??? HELL NO. It was called &#34;Parental Trust&#34;. And more parents should have it. Also, this app told my parents that I was driving 112 mph in a car that is physically unable to even reach 100 mph, and said I got to my destination in 1 minute when it's 2 miles away. AND IM AFRAID OF CARS/DRIVING. worst experience of my life. 0/10. bull crap",Free will,Truth,Honesty
Too much sexual content,The app itself is great totally! You can keep in contact with many people but there is wayyy too much adult content including sexual facts and inappropriate topics. Please stop posting so much about that stuff. There are kids on this app that their parents don’t know what they are letting their kids explore. Please take this as a concern for the children and take the sexual content down,Capacity,Honesty,Visibility
Sick,Kids are being taught to kill themselves on this app. It’s sick how you can continue to keep this app active after so many claims of parents saying they kids are being taught to hang themselves and told what way to cut yourself for attention and which way to cut to kill. This app neeeeeds to be diminished of the face of earth,Honesty,Free will,Visibility
Inappropriate Content,"My younger sister ,who is 5, said “Gang Gang” and curse words, and she said she heard one of her favorite YouTubers on YouTube Kids say those things. This app isn’t for kids. This app has a lot of inappropriate content that is what a 15 year old watches that is given to 5 year olds! Do not download this app, unless you want your child to become a scandal. To the creators, fix this problem. Watch the video before you put it on the app, or have parents volunteer to watch these videos. Thank you, and please keep my younger sister’s and other kids innocence protected.",Honesty,Capacity,Visibility
Child porn on Twitter (DO NOT LET YOUR CHILDREN ON HERE),"In fact, don't let anyone but the police and FBI near this app/website until they clean up the rampant paedophile and child pornography problem. It's not safe for normal, law-abiding adults let alone children. Keep your children safe and DO NOT LET THEM USE THIS APP.",Honesty,Truth,Free will
update,there needs to be a way to un-update the app. it's so bad. it makes the app SOOOO unbearable. everyone at my school uses this app to communicate and we are all mad. please listen boo please,No violation, , 
No longer works on iPhone5 unless it's kept open and active,"I have used Life360 for a while and have my teenagers using it, too.  I have also recommended it to other families and they have used it.  It was great.  When my daughter started driving to friend's houses in areas outside of our local vicinity, it gave me peace of mind to be able to locate her if she broke down or needed help.  My son likes seeing when I am going to pick him up from activities because he could watch my progress. 
With the last iPhone update, the app no longer works, if you close the app.  While it doesn't take much battery, it is still annoying to have to leave it open.  And even if I do leave it open, it goes inactive and no longer reports the location.
I am patiently waiting to see if they fix this problem because it has been reported OFTEN and if they don't, I will dump it and find another.
It's too bad, because I touted this app and loved using it.  It was so handy and had so many nice features, like nearest hospital, police station, etc.  PLEASE fix it.",Free will,Truth,Honesty
Ruining Family Relationships,"My mom made me download this app due to “other dangerous people, not me” but since I have downloaded the app all we have done is gotten into arguments, shes tracking me everywhere even when im just going to friends houses that she knows and is in contact with, and she doesnt trust me anymore even though I have never once snuck out of the house. All it does is make us argue due to the fact that she doesn’t trust me even though I have never done anything wrong and shes become even more strict towards me.",Free will,Power,Visibility
PARENTS PLEASE READ,"Parents, if you are downloading this so you always know where your kids are, please don’t. There are better ways to get your kids to be honest where they’re going, and downloading this ruins their trust in you.",Power,Visibility,Free will
SnapMaps?!!!!,"Are you kidding me?! An app we absolutely love and is fun and now you are making it DANGEROUS for us.  I don't need anyone knowing where I am at. I especially don't need my 15 yr old daughter being followed by God knows who to do God knows what to her. This is such a terrible idea. Obviously the person who thought of this update has no mom, wife, sister or kids either that or don't care for family much. Sad to say, but everyone I know that has Snapchat also agree, if SnapMaps isn't removed we'll be deleting Snapchat. We love our friends and family too much to our ourself in harms way intentional or not. Even with your so called &#34;ghosting&#34; mistakes can happen. Did you already forget what happened to Kim Kardashian? And that was without a map showing them exactly where she was at! SMH thank you but no thank you!",Visibility,Power,Free will
All the positive reviews are about how good of a tracker it is,"Sometimes kids just need privacy, the good reviews are all “I love being able to track my kids down to the inch” it just teaches your kids how to be sneaky. Honestly screw this app it ruined my childhood.",Power,Visibility,Free will
Kids YouTube should be banned !!!!!!!!!!!,This app is horrible and y’all are teaching kids about killing themselves and taking pills all that and it’s wrong !! I don’t know who approves these videos but the whole kids YouTube should be taking off any kids phone tablet all of that I’m glad someone seen this because my son will not be a kid YouTuber anymore !!!!!! Singed one Angry parent !!!!,Honesty,Truth,Power
Review,"This app is not working out how I expected I to it does seem like a well app it’s just no suited for some parents and or kid’s they complain and they refuse to go to sleep with this app, they try and delete it off my phone in the morning or change they’re names this may not be a problem with other parents but it is with my children and maybe some other parents hat understand the troubles of this.",Free will,Truth,Honesty
No “on” control,"As a parent, you should be able to control the power of the watch from the app! This is a huge fault because if a kid shuts it off by accident, because the buttons are so exposed and easy to lean on, then you, as a parent, have absolutely no contact or location services with that child! You rrrrreally must fix this issue!!! That would make the use of this whole watch and app a million stars but for now.....nope",Power,Free will,Honesty
Scam,"Not sure what abilities Verizon is playing with to us as patents but this family peace of mind is not working.
I work where companies are accountable with regulatory. Having quality control, risk events and testing all in order.  As parents we work hard to keep our kids safe and the kids like we did think they are invincible where nothing can happen. However back in the day is nothing like today where safe guards are key and kids are meaner, psychos are out the in masses.
So disappointed that I just tested the “internet paused” and Verizon gets an “f” for failure, yes the phones are paired. Bit my daughter and did this to my husbands phone worked on web, Snapchat, all kids of apps. Not sure when I am paying for",Honesty,Power,Visibility
Stupid,"All this app allows you to do is turn off kids electronics. If a kid goes to school for 7 hours in a day and comes home and wants to play some video games after suffering for 7 hours they should be allowed to play for as much as they want, but their parents have them do something &#34;more productive&#34;. For a child that is 7 all the way up to a 13 year old, there is nothing more productive. You can't get a job, you can't drive, all you can do is stay at your house. Parents use this app in a way that children don't like it. Just let the kid be a kid and have a good childhood and do what they want!!! If they want to play video games, then they will play video games. If that want to read a book they will read a book! This app is great in all except kids can't have as great as a childhood because their mom keeps turning off their wifi telling them to go do something &#34;more productive&#34;.",Power,Free will,Honesty
Seriously?,"This is supposed to be an app for kids. MONITOR EVERY SINGLE VIDEO. If you’re going to cater to the future generations, take care of them. There’s some horrible stuff on here that WILL hurt a child’s psyche. Don’t advertise that this app is kid-friendly because it is not.
CHANGE SOMETHING. So many children have already been scarred.",Honesty,Capacity,Power
Not appropriate for kids,"I agree with the other review. I take all precautions i think are possible so my 4 yr old autistic son can enjoy a app without me worrying. I do parental controls, i block all videos that are inappropriate or scary and they still keep getting thru. I got a warning from my sons Therapy school that there is something called the “momo challenge” that pops up in the middle of your child watching an innocent show like peppa pig and its a scary girl face with a bird body that tells the kids to do harm to theirselves or others. This is not ok and i deleted the app completely right away. I urge all others to do so that have young kids. YouTube kids is not safe!",Honesty,Capacity,Truth
Frustrated!!,This app keeps telling me that the people I message are active and just asked my brother if mom was active and he said no that she was sleeping his app is doing it as well with his friends. This is very frustrating is there something I can do to fix this or is there a problem with the app?,Honesty,Truth,Visibility
Not Suitable for Young Teens,"Look, I don’t want to rain on anyone’s parade, however there is an inherent problem with KIK. Its not suitable for young teenagers (like my daughter). However, due to the immense popularity, kids do not heed the 17+ rating.  There is horrendous amount of cyber-bulling and inappropriate content passed.  Its one thing if you are older, mature and can handle this, its another thing if you are a young and impressionable.   I’m not sure this problem will go away - the anonymity inherent with this app is one of its greatest draws, and to parents like me, a drawback.  Kik does have some control options for users, but you have to be a chat administrator to effect any change and block users / content.  If you are a parent of a teen, simply be-aware.",Capacity,Power,Free will
Terrible app,This app is terrible and has hardly any security for kids and allows videos where animated characters are to be violently harmed in the videos. Not good for kids at all. Neither is the kids app.,Visibility,Honesty,Truth
This site is totally unsafe,If you're a mother of a teen be careful of who your child talks to on here because you can talk to friends but STRANGERS can also contact you which is completely dangerous a 13 year old girl got killed by an 18 year old she MET through kik a few days ago I wouldn't recommend anyone get this app its not safe.,Honesty,Visibility,Free will
From a different view,"I'm a teenager, and of course the new thing is snapchat. I got the app and it is great for what it's supposed to do, I'll give it that. But the sole purpose for it is to keep secrets and nudes hidden away. As a teen I love this app, but if I were a parent I would hate it.",No violation, , 
Lost features,"I really liked smart limits. I could limit my children’s calls, block callers I didn’t want them to speak with, see who they were speaking with, manage data and features of their phone. 

Secure family does not do those things and AT&T discontinued what was helping me control an out of control teenager.",No violation, , 
This is awful,"So I am 17 and my parents one day forced me to download this app. I was confused but I really didn’t care about it at first until they started questioning everything i did and they started threading my freedom. This app stalks me and runs my battery down literally so much and i have to constantly be on a charger. Also, they get notified if I leave my house which is annoying because they play 20 questions every time I get in my car. One time my dad asked me why I was going to the grocery store.. what do you mean why?? I’m getting groceries... it makes me not want to talk to my parents anymore because all they do now is ask about my life and me and everything I do. I am now forced to leave my phone at my friends house so I can go be with my other friends. They aren’t bad people, I just don’t want to talk to my parents about them because I can make my own choices and i don’t think then following my every move is necessary. Life 360 is pretty awful and I know all my friends feel the same way about their parents because of this app",Free will,Visibility,Power
no freedom,my parents forced me to download life 360 a year ago. i don’t like the app. by having this app on my phone it feels like they don’t trust me and think i’m a bad kid. the app works fine i just feel like having this app will make your kid want to rebel more.,Free will,Power,Visibility
nope,"my favorite thing in the entire world is taking away kids ability to live. kids are already dealing with enough and this app just tightens the noose. the average teen today has a higher anxiety level than a psychiatric patient in the 1950's so taking away the fun part about being a teen where u can do crazy stuff is not making anything better, this app only helps crazy parents who can't control there own lives so they have the urge to control every bit of there child's, no wonder there depressed stupid. Look back to when u where young and living ur life would u have wanted to be tracked and watched where ever u go, i didn't think so",Power,Free will, 
Mental abuse,"I believe that this is a greatly programmed app and you have skills but this is also mental abuse to children! Children are not being trusted and are forced to download this app, due to this it makes them feel like they can not be trusted and so they don’t trust their parents either. This can lead to anxiety and depression of just thinking of how much their parents do t trust them to force them to download this app. In certain schools they are teaching kids about how to deal with mental illness and for some this is a start to a mental illness! I’m sorry but I demand that this app be removed! Thanks you",Free will,Power,Capacity
horrible.,"i’m a teenager and my grandparents (whom i live with) made me download this about a year ago. they had no reason to ever make me download it. i’d never snuck out, never been somewhere i shouldn’t have been and i was genuinely a good kid, because i has never wanted to break their trust or make myself the “bad kid”. but one day before i went to the mall with my friend they made me download it. i was hurt and wondered why they didn’t trust me. it made me want to act out and give them a reason not to trust me since they obviously didn’t but had no reason not to. so i started sneaking out, going places i shouldn’t be, and getting fights and i figured out how to do it without them knowing. this app ruins trust and only makes teens find sneaky ways to do things teens should be able to do. our teens are supposed to be lived, and where we have more freedom to do what we have fun doing, but this app just causes us to be bad and become sneaky and it’s an invasion of privacy. this app truly crosses many lines.",Free will,Power,Truth
Disorganized all my apps :(,"Disorganized all my apps. Spent at least over an hour organizing them, and had them all over the place and disorganized when I got permission back. And a whole bunch of my apps were opened up as well. My parents must hate me for doing this to me. At least the app works in my parents favor ):P - A review from a not to happy kid :T",Honesty,Visibility,Power
terrible,"do you not get this app. If you were a kid and your parents are making you get it. Don’t. makes it so you can’t even use your phone. This is literally the worst app I’ve ever used, and they should just get rid of it.",No violation, , 
Apple = Fu*king control freaks,Really A? You FORCE me to use an app. One that invades my privacy. Please save that 'you don't have to use it then bullsh!t for people too stupid to be offended by your maniacal need for control.,Free will,Power,Capacity
We need another version,"You can't do anything cause you get disabled .... If periscope want to keep people using this app they should fix this .... Make an adult room or something and a kids room 
People is getting their account disabled for nothing",Honesty,Truth, 
I don’t support life360.,"Life360 is just a way for your children to lose all respect and trust for their parents. My mom forced me to get life360, we had a very good relationship, life360 ruined it. I don’t have any respect for her at all. I hope whoever made life360 is happy taking away all these kids freedom from them, not giving them the chance to be on their own because their parents know where they are at all times. Parents always say that society’s people are now turning out to be little babies, well guess what, life360 just adds onto that. As soon as I leave somewhere my mom gets a notification. Think of the danger some kids could be in. They can just leave their phone somewhere so their parents think they are there, but what happens when they do that and something bad happens. How are they going to call their parents or 911..",Power,Free will,Visibility
"Parents, please do not get this app","As a teenager I cannot stand the lack of trust that comes with making your kids get this app. If you need this for safety you can use find my iPhone or a different service. Please work on the emotional trust of building confidence with your children and don’t just skip the step to tracking their every move, getting notifications of their arrival places, and seeing the history of the places they have gone. I now no longer communicate with my parents as to where I’m going and when because i know they’ll just track me if they need to know. I don’t do my part In having that relationship with them and they don’t do their part In having the relationship with me. This app is so easy to ruin that essential part of figuring out how to be independent as a young adult and building that responsibility on our end. Please take this off the App Store. I don’t want anything or anyone knowing exactly where I am and keeping a history of the exact duration of places I am and the speed I travel. Why is the internet so creepy. Were y’all never teenagers?",Free will,Visibility,Power
Age range,"I understand that developers do not feel comfortable for allowing younger kids to get these kind of app (because of pedophiles, or creeps) but I honestly hate the whole 18+ or 17+ thing. I can't find a single app for young teens to make friend. All I want to do is find new people to talk to and I can never find one for that.",No violation, , 
Former user,I no longer had this app on my phone but I used to. This app WILL make everyone who uses it lose trust. It often blocks things that aren’t supposed to be blocked which ends up breaking a lot of websites and critical functionality a phone should have. The app also miscalculates location data so people will look like they are somewhere they aren’t and parents aren’t likely to believe something when their app says something else even if the app is wrong. Lucky for me my dad knows how tech can mess up but this was only after a phone call where my mom yelled at me for lying and didn’t believe me until my dad talked to her. My family had more trust between persons before this app.,Honesty,Cognition,Truth
HORRIBLE,I AM A PARENT. AND THIS APP IS THE WORST APP EVER. MY CHILD HAS NO FREEDOM JUST BECAUSE MY WIFE BOUGHT THIS FOR THE CHILDREN. BECAUSE IN THE REAL WORLD. PARENTS CAN’T ALWAYS GUARD THERE CHILD EVERY MOVE. CHILDREN NEED FREEDOM. THIS DESERVES A ZERO STAR RATING. SINCE I CANNOT DO THAT. I HAVE MISERABLY GAVE IT A ONE STAR. CHILDREN NEED THEIR FREEDOM! I AM SPEAKING FOR ALL PARENTS AND CHILDREN,Free will,Power, 
PRIVACY INVASION,"Take down the invasive feature now. That's a huge invasion of privacy. What about the people who have fans on Snapchat, not just friends? Their privacy is compromised & this feature is NOT safe. Even regular friends or boyfriend/girlfriends could see exactly where you are at all moments. What if someone is fighting with a friend and they use this feature to stalk them. There would be no way of knowing that this person is now stalking your every move. Who the hell said or thought this was a good idea? I will be removing your app until this feature is removed itself. You guys need to relax.",Visibility,Free will,Cognition
weird,"i can not seriously be the only one that finds this app creepy as hell . like i get the safety reasons but if u constantly checking it and stalking ur kid , thats creepy and you dont trust them enough sorry.",Free will,Power, 
Terrible,This is the quickest way to make you’re child resent you! Have fun with an upset kid stripping them of their privacy doesn’t make you a good parent it makes you overly invasive and lacking of trust and respect you’re the worst kind of person,No violation, , 
REMOVE IT NOW!,"iATTENTION!  iATTENTION!

     You must remove this from your phone immediately!  The app is basically stealing your personal information from your phone and stealing your personal financial information.  This app has already caused a 3 car collision with a death as the result of from all 3 drivers playing this game.  A teen has already been jumped while taking a shortcut to a friends house, and ends up in the hospital requiring stitches.

     This app is also a danger to those in secluded areas or large neighborhoods with sex offenders and other criminals.  The use of this app needs to come to an end and be banned.",Honesty,Truth, 
Privacy,"Life360 seems like a great idea to keep track of your children and make sure that they aren’t doing anything wrong. But it actually just convinces your children that you don’t trust them. When they think that you don’t trust them, they will begin to tell lies to you. The app invades their privacy and just teaches them to be sneaky. One star.",No violation, , 
Check Your Child's Phone,"This app now has a &#34;snap map&#34; that shares your location all the way down to the address you are currently at. This is completely unsafe. Parents, you may want to check your child's phone to make sure their location is not shared. You can apparently turn this feature off through &#34;ghost mode&#34;.",Visibility,Cognition, 
KIK IS NOT SAFE! PLEASE READ,"Yes, Kik might be a good app and chatting on it is good. But studies have shown that when you get the Kik app it sends out your current location and strangers can see where you are. Cases of kidnaps, murders, and stalking has been of a result from Kik. And you're probably thinking &#34;oh well my location services is off it doesn't bother me!&#34; BUT IT DOES. Please anyone who's reading this I 1000000000% advice not downloading this app and if you already have it, delete it ASAP. More people don't need to be getting hurt from this app. Thank you..",Visibility,Free will,Truth
Invasion of People's Rights!,"This app should not be available to the public market! Do you know that they group unerage consentual partners in the same categories as child r@pists, and murderers? If you have to use an app to find these people, then there are two things: one, you oblivious to the world around you and/or they are simply trying to start a new life, because they were outcast from the old community. Moreover, this app will not make you feel safe, nor give you peace of mind. How could you possibly feel safe if you know a r@pist is lurking around? Often times, these people are just looking to start over on a clean slate, and by perchusing this app, you dont give them that chance. I implore you, pleae dont buy this app.",Visibility,Statutes,Cognition
Why...,"So i have questdio on my iPads... its very rude, first it says I've used apps i haven't use, tracks location and what your doing... thats kinda breaking child safety laws. My dad will have nothing on and it will block everything! Like I want to play minecraft with freinds it blocks my internet acess and stops me from being able to.",Honesty,Visibility,Free will
Read before buying,"Ok so I needed this app because someone was threatening me. This was the best way to be safe is to record their threats. However when I tried to record the person the app kept making benign sounds and the person knew it was recording and hung up,!! It never shows that these sounds are on and can’t turn  them off? Only after u buy? What a loss of money, ? I don’t understand I really had hope but this only made it worse, an update where the app does not make any sounds during the call on the person responsibility plz? :/",Honesty,Free will,Visibility
I have no life,"I dislike this App very much. It should have never been invented. If you want to ruin your teenagers life, I recommend. If you are thinking about getting this app. I feel sorry for your children. Much love",No violation, , 
From a teen standpoint...,This app has literally stripped me of any freedoms. I already live in a super strict household and this just exacerbated my problems. My mom already stalks my phone and checks it daily this app has made this problem 100% worse.,Free will,Visibility,Power
CONSTANTLY DROPS GPS,My husband and I got this to test and see how it works to put on our teenage daughters phone. I would say 70-80% of time we can NOT track each other. My iphone is constantly saying my service is lost even just sitting at home. Definitely not a trust worthy app to use for safety regarding keeping an eye out on my teenage daughter.,Honesty,Power,Truth
App said I left my house,I hope something is being done immediately. People in my circle were alerted that I left home late at night last night although me and my phone were at home the whole time. This can easily cause strife especially among family members. This better get fixed much much sooner than later or we can’t use the this app.,Honesty,Truth, 
Terrible,"I honestly can’t believe someone was idiotic enough to create this app. I understand the idea, but realistically it tears families apart by showing the very little trust parents have in their children. It exposes weaknesses in relationships and ultimately causes stress for children and adults. To begin, the best way for a child to learn is through making mistakes and learning from them and parents should be there to guide children along the way. However this app restricts all ways of learning the proper way. Only a few years ago, everyone had the opportunity to learn from their mistakes but recently apps such as these have made children feeling that they have responsibilities very challenging.",Free will,Power,Statutes
"Great idea, bad programming","I love the idea of this program, and I support the idea but when the program refuses to allow me I to the parent profile and locks my child out of her phone without my consent then to disable it I have to hard reset their phone I will not continue to use it. 

I had it installed for 24 hours and all this happened",Truth,Honesty,Power
Location,"This app is not showing where I am at when there is low service... not good for me. Thanks to Life 360, my parents think I am hiding something and trying to sneak around. I am not happy with this app because it makes me look like I am a bad kid trying to do bad things. This app also says false top speeds when I complete trips. Parents if you want an honest app to keep track of your kids, this is not the app you want.",Honesty,Truth,Power
unnecessary,"From the viewpoint of a teenager forced to download this app, I find it disheartening as well as ironic how the majority of the adults who have downloaded this application most likely had a childhood where they could go out with friends and not come home to a game of 20 questions asking “why you stopped here for 12 minutes”, and “why do u allow your friend to drive at such a high speed”, or “why did u decide to take the long route to this place”. I am a 17 year old girl who lives in a small town within the state of Iowa. Around here, us teens go to bonfires, we go to houses and hang out with boyfriends and friends. However, due to this application, this has been limited to me. Limited to the point where I can’t even leave my house unless I plan my route, and the speed I will go on my way to a certain place. BEFORE I leave. And if I do not follow through exactly I am punished. This application causes many teens as well as myself to act out against these suffocating restrictions. To all of you parents who are downloading this app, do not be a hypocrite. If you had fun within your “teen years” let your child do the same. High School is meant to be spent with friends, and to make decisions on your own. To grow and learn. I’m tired as well as extremely annoyed at the fact that this app, along with parents like you, are trying to rip that away from us teens.",Power,Free will,Statutes
Beware parents,I found this app on my daughters phone and boys where and are sending naked and xxx rated material to people I would advice all parents to check their kids phone / device and delete it in today society you never know what sickos are out there,Honesty,Truth,Visibility
Should be taken down,Kik is misleading and dangerous for children under 17.  Adult perverts can pretend to be a child and there is no safety precaution in kik-no filter -people are swearing in kik and bullying and threatening and yet kik did nothing when I reported it....nothing....,Honesty,Truth,Statutes
Inaccurate,"Many times this app has just set my location as the middle of no where particular or a bad neighborhood and my parents have freaked when I'm just snuggled up in bed. I have walked to my mailbox and back and had my phone say I'm a good few hours away. This is very unreliable, and worries my parents who are constantly on the road.",Honesty,Visibility,Truth
Not good,It is not very good because there is a momo that tells kids inappropriate stuff or something to hurt yourself please don’t let your child get on this app until a police officer can fix it my school is trying to help,Honesty,Truth,Power
Not good for young kids,"My almost-4yo son loves browsing YouTube Kids. Unfortunately, we don’t love it as much. While we haven’t encountered the very worst of the well-publicized horrific stuff masquerading as kids’ content, there’s still a ton of stuff here that’s creepy, weird, promotes attitudes and behaviors we don’t like, and content that just isn’t appropriate for little kids. Unfortunately, unlike some of the other kids’ video apps out there, there’s no way to limit access to only age-appropriate stuff. There’s also no way to block key words or themes, no way (that I can find) to search for a channel so you can block it...the parental controls are woefully underpowered. 

We’ve deleted YTK from our iPad and won’t be using it for the foreseeable future. We’ll make do with other apps.",No violation, , 
